"title","url","stars","name","reviewUrl","text"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Dhammamitto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25ORFJGRm9lazlRVDFJM2EyVllOMEpQT0ZKU09GRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOnNDRFFoek9QT1I3a2VYN0JPOFJSOFE%7C0dD-jW2c_Op%7C?hl=id","Wow tempatnya ramai, saat datang tak ada tempat jadinya waiting list namun tidak lama 5-10 menit kira-kira. Sedikit info tempat ini didominasi oleh pengunjung para mahasiswa lhoo tapi gak tau dari kampus mana aja
Pada akhirnya tiba orderan telah dihidangkan menebarkan aroma khas ramen, dan enak asin gurih, gak gitu panas karena ada kipas angin, jadi bisa enjoy nikmati makanannya"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Desti Ramadianti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKTmRHOWZabFZJWDBJMldGTTFXVXBFY1RaeWJFRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOlJNdG9fZlVIX0I2WFM1WUpEcTZybEE%7C0dFLiMaqED0%7C?hl=id","Akhirnya nyobain juga, setelah sebelumnya ga jadi karena WL banyak bgt. Tadi dateng ga begitu full dan nunggu 15 menitan udh dipanggil.
Nunggu sushinya pun tadi estimasi 30-45menit tapi nyatanya ga sampe sih kaya bentar 15 menitan dah jadi.. untuk waktu tergantung situasi aja sih.
Tapi emang ga pernah sepi tempatnya rame terus..

Harga dan rasanya worth it bangett.. jangan kalap ya. Pesen secukupnya aja karena porsinya lumayan besar.
Kuah ramen nya creamy ngaldu banget 8/10. Sushi roll nya juga mantep ukuran dan rasanya 8/10. Next pengen kesini lagi buat cobain varian sushi nya yang lain 🫶🏻"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","FERDYAWAN AKMAL FIKRI","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5MWJISkxVVTAyYkcxR1NuVXdjRkZ5Y1ZjNGExRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOk91bHJLUU02bG1GSnUwcFFycVc4a1E%7C0dEdA7elbAT%7C?hl=id","Jujur, Ramen Tokyo Rock ini bikin nagih. Kuahnya gurih banget, rasanya dalem dan bikin pengen nyeruput terus sampai habis. Mienya kenyal, nggak lembek, dan pas banget dipadu sama kuahnya. Topping-nya juga nggak pelit, chashu-nya empuk dan telurnya enak. Porsinya ngenyangin, cocok buat yang lagi laper berat. Tempatnya nyaman buat makan santai, pelayanannya juga oke. Overall, ini salah satu ramen yang wajib dicoba kalau lagi pengen ramen enak tanpa ribet."
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Amalia Fitriani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGV01EWkJVM0JPYzNkWGNuUlFWR2xYVlVrMFduYxAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOjFWMDZBU3BOc3dXcnRQVGlXVUk0Wnc%7C0dFEaE9sFrH%7C?hl=id","Setiap kesini selalu pesen ramen extremenya, topping gyuchashu🥰

Rasa kuah kaldunya tebel dan umami banget, ada tambahan citarasa seafood juga jadi makin mantul. Topping gyu chashunya tebal namun tetap empuk dan juicy. Kondimen bisa ambil di corner tersendiri (ada jagung, daun bawang, bawang putih, cabai, etc)

Servicenya bagus sekali, ramah dan tanggap. Meski ramai dan WL, namun kami tetap bisa makan dengan nyaman dan makan tanpa menunggu lama, baik dapat meja, maupun tunggu makanannya datang👏🏻"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Ftri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tZMmRVOUZlRmxWZWxaVVpqaGhaVkpoWnpkaE1FRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOkY2dU9FeFlVelZUZjhhZVJhZzdhMEE%7C0d39NE5Rrv4%7C?hl=id","Menyediakan banyak pilihan ramen dan sushi dengan harga yang cukup bisa di terima. Lokasi strategis pinggir jalan, tp cukup terbatas untuk parkir mobil. Fasilitas lengkap, ada toilet dan mushola juga. Varian ramen bagi yg gak suka pedas rekomended coba yg tori paitan ramen extrem. Untuk sushi nya rekomended coba yg varian crunchy, rasa balance aja gitu, ada lembutnya dpt, tp juga masih ada tekstur yg renyahhh saat di kunyahh, mantap. Pelayanan ramah dan tempat bersih. Tapii cukup antri bgt, kalo kondisi lapar bgt gak rekomended sihh, soalnya bisa antri sampai 20 antrian gituu, Cuma kalo masih aman menunggu bisa di jadikan pilihan untuk do coba ges. Kalo gak habis bisa request bungkus juga, pengemasan rapi dan aman. Selamat mencoba gess"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Tasya A","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CaGEwUjRXakEyUWw5RGVFTjFURzl1YldoVFIxRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOnBha0R4WjA2Ql9DeEN1TG9ubWhTR1E%7C0dEeSIT79GA%7C?hl=id","Ramennya enak porsinya besar bener-bener ngenyangin, salmon skinnya enak terus murah juga, cuma kalo mau kesini harus sabar karna selalu waiting list, tempatnya luas, nyaman soalnya ber ac, sushinya juga enak, next bakal kesini lagi"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","amanah cahya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSbGFFeENTbkZCUlRseVIyeEZiVk00UVRoUGVIYxAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOjRlaExCSnFBRTlyR2xFbVM4QThPeHc%7C0dHHG2PDk4w%7C?hl=id","Rasanya enak bgt, dari awal buka pas di tempat lama, sampe sekarang ga berubah...cuma kadang porsian mie di ramennya ga nentu kadang banyak kadang ga"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Jelita Zee","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25ZMWEyVnhRbGxOV1dwdmFuQTNSV05aT0VOdVVWRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOnY1a2VxQllNWWpvanA3RWNZOENuUVE%7C0d2OeSsAFle%7C?hl=id","Dari awal pindah ke Jogja selalu beli sushi dan ramen disini, salmon nya tebel dan ramen nya sengaldu ituuu.. jangan lupa juga beli pudding nya enak bgt🤤🥰

Rekomendasi menu yg wajib dicoba yg festival salmon, yg manapun enak pokonya. My favorite si salmon nanban cheese🤩

Pelayanan disini juga ramah banget, padahal disini sering chaos tapi mas²nya sesabar itu sm orang² 🤩 sukses selalu tokyorock, selalu dikangenin walaupun sesering itu kesini"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","Aisyah Putri Anugrah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKeVl6RnlabnBxZGtsU2JXTlZNVGh0UzBkV1pYYxAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOlJyYzFyZnpqdklSbWNVMThtS0dWZXc%7C0dCy-oUEbaw%7C?hl=id","First time kesini dateng jam 2an bisa langsung duduk tanpa waiting list, payment jam 3, semua pesenan dateng semua ±30 menit kemudian.

Tempting bangetttt, porsinya gede, salmonnya juga tebel dan worth it sama harganya. Bakal dateng lagiii😍😍😍"
"Tokyo Rock Jogja","https://www.google.com/maps/search/?api=1&query=Tokyo%20Rock%20Jogja&query_place_id=ChIJvxNGxJxZei4RwoN8Hkbfd24","5","miyaken","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WUVYwdHFiV3Q2VVVwck1XWk5WVzlZWlRoSE1FRRAB!2m1!1s0x0:0x6e77df461e7c83c2!3m1!1s2@1:CAIQACodChtycF9oOnVQV0tqbWt6UUprMWZNVW9YZThHMEE%7C0dBj79q6VOw%7C?hl=id","Tempatnya bagus dan parkirnya luas, jadi aman untuk mobil maupun motor. Makanannya enak dengan potongan besar, benar-benar worth it untuk harganya. Area tempat makannya juga cukup luas, tapi saat datang jam 1 sudah waiting list, jadi lumayan rame. Kamar mandinya cukup bersih dan pelayanannya juga oke banget cepat dan ramah."
