"title","url","stars","name","reviewUrl","text"
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Obos Marvel","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psa2EzWXplVFJuYTBKTFprdGFVMkpDUTJoNGNYYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOjlka3YzeTRna0JLZktaU2JCQ2h4cXc%7C0d9sykeCobY%7C?hl=id","Tempatnya sangat luas bisa buat rombongan satu bus dengan berbagai pilihan meja untuk makan mulai dari outdoor dan indoor bahkan ada lesehan dan juga bangunan di tengah danau. Pilihan menu makanan dan minum disini juga sangat bervariasi sampe bingung mau pesen apa. Tentu yang menjadi jdaya tarik utama nya tempat yang disiapkan sangat nyaman dan proper mulai dari fasilitas parkir, toilet, mushola dan spot foto nya.

Sepertinya kalo bawa rombongan bisa banget nyobain makan disini."
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","ika handayani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aWmNGbE9iamcyUkU1NVNGVlFWMWhuVVhKS1RYYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOmZZcFlObjg2RE55SFVQV1hnUXJKTXc%7C0cuD-p-N2pX%7C?hl=id","kesini lagi stelah sekian lama, kesini terakhir sblm covid pas suami masih dinas Smg, skr dinas di Smg kesini lagi 🤣... suasananya lebih bagus, tapi pnsaran pas malem sih pas ada lampu2 kayanya vibesnya bagus 😁...

krn datang pas setelah jam buka, jd tempat masih mayan banyak yg available, makanan variasinya yg side dish lumayan jumlahnya, cuman agak lama penyajiannya krn katanya buatnya terpisah ...
kalo menu utama cepet banget, skitar 30 menitan udah keluar 😍, dan enaaak as usual ☺️

tempat parkir luas buangeet, barengan kita ada bis2 wisata juga yg parkir ... kantor suami klo ada acara juga kesini, menjamu tamu luar kota juga kesini 👍👍

utk harga ya hampir mirip sm resto lainnya yg seafood. kita kmrn habis sekitar 500-an, utk gurameh dihitung per ons"
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Miya Cathering","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xQlR6azFObWhpYVVSVWJVSnFTVk5sT1VoNllsRRAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOm1BTzk1NmhiaURUbUJqSVNlOUh6YlE%7C0dCM-9_Jcq1%7C?hl=id","Tempat makan yg superrr nyaman disini ya,, tempatnya luas, bagus romantissss dan bikin betah bangettt
Makanannya enak dan menunya buanyakkkk sampe bingung pesennya..
Semua karywannya ramah
Mushola bersih
Toilet bersih
Banyak yg bsa dijadiin spot fotooo
Keren kampung laut"
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Ary Dewanti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poc2NUQlRhelkxTm5GQlVqbHpVbFJUV25aeFIwRRAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOjhscTBTazY1NnFBUjlzUlRTWnZxR0E%7C0cx0hRWVpKL%7C?hl=id","Kesini lagi setelah lebih dari 5 tahun yang lalu.. Suasana masih sama seperti dulu.. Untuk makanan enak sih.. Cumi mentega dan udang telur asinnya👍..porsinya pas kalau untuk makan malam berdua.."
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Hendry Ong","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tFM1ZGZEdhV1IxTm01YWFtZ3lVMWhrTVZablQzYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOkE3VFdGaWR1Nm5aamgyU1hkMVZnT3c%7C0cyU6FBZzQ0%7C?hl=id","Suasana resto nya nyaman dan bagus, tempatnya sangat luas, ada tempat pemancingan juga, makanan lautnya lumayan enak, cuma ikan bakarnya agak kering. Pelayanan bagus."
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Fatih Riantono","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2toRmMxWmpWbmxyYnpSZmFXUm1NMFJSYVVoWlRFRRAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOkhFc1ZjVnlrbzRfaWRmM0RRaUhZTEE%7C0cWQNu4TwhM%7C?hl=id","Parkir luas, bayar parkir 5rb menggunakan karcis mesin, Makanannya enak2 kok, sesuai dengan harganya, ada tempat mainan untuk anak2, tempat pancing ikan, nyantai disini bersama keluarga pasti enak, krn banyak spot foto nagus juga disini.. mantapp"
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Bily Abintaka","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wbWFUbEVNMUV0VVdNNFdWbE9aMjlMWDBGemIyYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOnpmaTlEM1EtUWM4WVlOZ29LX0Fzb2c%7C0cwhG-6wMcA%7C?hl=id","Tempatnya selalu rame Kalo Pas bulan puasa, Pas waktu buka puasa. jadi kalau mau ke sini harus reservasi dahulu atau bisa langsung ke tempat tapi masuk Di waiting list..

Makanannya enak, tapi beberapa menu Ada Yang kosong katanya.."
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Hery Setiyawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2swME1qZGZkRUUxT0hCblQwOTNXSE5mZFVSU1YyYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOk00MjdfdEE1OHBnT093WHNfdURSV2c%7C0cciOPVF7e1%7C?hl=id","Sudah sering kesini tetap rasanya nyaman dan puas. Tapi kalo makan mending sore ditemani semilir angin laut. Rasa masakan joss mantab, harga oke, servis ramah. Parkir luas per jam ga mahal. Bawa tamu kesini.oke. kursine banyak dan luas.

Kamar mandi bersih. Ada mushola juga bersih. Bisa mancing kalo siang bisa 30rb sewa pancing."
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","Avy Jo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SSFRuSlRObFIxZVROQ2IwOUJlVGcxTTA1MVpYYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOnRHTnJTNlR1eTNCb09BeTg1M051ZXc%7C0c_iCv5gGy8%7C?hl=id","Suasananya nyaman.. Tempatnya luas dan banyak saung²nya... Parkirannya juga luas ... Hanya saja menurut saya rasa makanannya biasa saja. Tapi pelayanannya cepat dan ramah.."
"Restoran Kampung Laut Semarang","https://www.google.com/maps/search/?api=1&query=Restoran%20Kampung%20Laut%20Semarang&query_place_id=ChIJ90i6m9v0cC4RLMuGRafe5zQ","5","niraa __","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s0MFFtTk5kRmhRY2tOVGEwMTFNRll6UjJselZtYxAB!2m1!1s0x0:0x34e7dea74586cb2c!3m1!1s2@1:CAIQACodChtycF9oOk40QmNNdFhQckNTa011MFYzR2lzVmc%7C0cazMIleZ0B%7C?hl=id","Suasananya ruame banget, apalagi sabtu malam dan terang benderang, bumbunya meresap, apalagi yg kepitingnya. Sayangnya kurang disediakan untuk mecahin cangkang kepitingnya 👍🏿"
